anio,aut,ent,aut_her,aut_fal,civ_det,civ_her,civ_fal,vic_her,vic_fal,let,tot
2007,mil,02,,1,,,,,,#,1
2007,mil,05,1,3,,,,,,#,1
2007,mil,09,,,,,,,,#,1
2007,mil,10,1,,4,3,3,,,1,7
2007,mil,11,,,,2,1,,,0.5,1
2007,mil,12,,,1,,,,,#,1
2007,mil,16,4,5,10,,6,,,#,4
2007,mil,18,,,3,2,,,,0,1
2007,mil,19,1,,9,2,,,,0,5
2007,mil,20,,,10,1,2,,,2,6
2007,mil,22,,,,,3,,,#,1
2007,mil,24,,,,,1,,,#,1
2007,mil,25,1,3,,1,5,,,5,5
2007,mil,26,1,1,,1,1,,,1,4
2007,mil,28,3,1,3,,,,,#,7
2007,mil,30,,,,,,,,#,1
2007,mil,32,,,,2,,,,0,1
2007,mil,00,12,14,40,14,22,,,1.571428571,48
2008,mil,01,,1,,2,1,,,0.5,1
2008,mil,02,2,1,8,1,4,,,4,5
2008,mil,05,,,,2,4,,,2,4
2008,mil,08,9,3,18,8,18,,,2.25,14
2008,mil,10,3,1,9,,3,,,#,10
2008,mil,11,2,,,1,3,,,3,2
2008,mil,12,1,1,6,,14,,,#,7
2008,mil,13,,,,1,1,,,1,1
2008,mil,16,5,1,8,2,4,,,2,9
2008,mil,17,,,,,,,,#,1
2008,mil,18,4,,,,1,,,#,1
2008,mil,19,1,,4,1,,,,0,8
2008,mil,20,,,2,,3,,,#,4
2008,mil,25,3,,1,,2,,,#,4
2008,mil,26,2,,1,,1,,,#,4
2008,mil,27,,,,3,2,,,0.666666667,2
2008,mil,28,18,4,34,1,5,,,5,23
2008,mil,30,,2,,3,3,,,1,5
2008,mil,32,2,,,1,2,,,2,2
2008,mil,00,52,14,91,26,71,,,2.730769231,107
2009,mil,02,2,,9,,3,,,#,5
2009,mil,05,8,,10,5,4,,,0.8,6
2009,mil,07,1,,6,3,4,,,1.333333333,3
2009,mil,08,8,3,50,6,30,,,5,24
2009,mil,10,13,2,16,5,24,,,4.8,18
2009,mil,11,1,,6,,4,,,#,2
2009,mil,12,15,3,25,3,49,,,16.33333333,19
2009,mil,14,3,,50,1,5,,,5,6
2009,mil,15,,,6,,1,,,#,2
2009,mil,16,3,1,26,7,10,,,1.428571429,15
2009,mil,17,2,1,1,1,1,,,1,6
2009,mil,18,,,1,,,,,#,2
2009,mil,19,12,,51,12,24,,,2,14
2009,mil,20,,,3,,,,,#,1
2009,mil,21,,,,,,,,#,1
2009,mil,24,,,,,1,,,#,2
2009,mil,25,6,1,18,1,8,,,8,9
2009,mil,26,3,,15,,1,,,#,10
2009,mil,27,3,,12,1,1,,,1,3
