anio,ent,mun,aut,aut_her,aut_fal,civ_det,civ_her,civ_fal,vic_her,vic_fal,let,tot
2007,02,004,mil,,1,,,,,,#,1
2007,05,035,mil,1,3,,,,,,#,1
2007,10,005,mil,1,,1,1,,,,0,3
2007,10,018,mil,,,,1,1,,,1,1
2007,10,026,mil,,,3,,,,,#,1
2007,10,034,mil,,,,1,2,,,2,2
2007,11,017,mil,,,,2,1,,,0.5,1
2007,12,074,mil,,,1,,,,,#,1
2007,16,006,mil,1,,10,,4,,,#,2
2007,16,013,mil,3,5,,,1,,,#,1
2007,16,053,mil,,,,,1,,,#,1
2007,18,017,mil,,,3,2,,,,0,1
2007,19,006,mil,,,9,,,,,#,1
2007,19,009,mil,,,,1,,,,0,1
2007,19,011,mil,1,,,,,,,#,1
2007,19,033,mil,,,,,,,,#,1
2007,19,038,mil,,,,1,,,,0,1
2007,20,059,mil,,,10,,,,,#,2
2007,20,141,mil,,,,,,,,#,1
2007,20,208,mil,,,,,,,,#,1
2007,20,413,mil,,,,1,1,,,1,1
2007,22,014,mil,,,,,3,,,#,1
2007,24,040,mil,,,,,1,,,#,1
2007,25,006,mil,,2,,,1,,,#,2
2007,25,007,mil,,,,,3,,,#,1
2007,25,015,mil,,,,,,,,#,1
2007,25,016,mil,1,1,,1,1,,,1,1
2007,26,018,mil,,,,,,,,#,1
2007,26,043,mil,1,,,,,,,#,2
2007,26,049,mil,,1,,1,1,,,1,1
2007,28,007,mil,,,2,,,,,#,1
2007,28,012,mil,,,1,,,,,#,1
2007,28,022,mil,2,,,,,,,#,2
2007,28,027,mil,1,1,,,,,,#,1
2007,28,032,mil,,,,,,,,#,1
2007,28,041,mil,,,,,,,,#,1
2007,30,192,mil,,,,,,,,#,1
2007,32,048,mil,,,,2,,,,0,1
2008,01,007,mil,,1,,2,1,,,0.5,1
2008,02,004,mil,2,1,8,1,4,,,4,5
2008,05,002,mil,,,,,1,,,#,1
2008,05,020,mil,,,,,,,,#,1
2008,05,035,mil,,,,2,3,,,1.5,2
2008,08,017,mil,1,,7,2,3,,,1.5,4
2008,08,019,mil,5,1,,3,6,,,2,1
2008,08,031,mil,,,,1,,,,0,1
2008,08,037,mil,1,1,11,2,6,,,3,7
2008,08,066,mil,2,1,,,3,,,#,1
2008,10,005,mil,,,3,,1,,,#,3
2008,10,006,mil,,1,,,,,,#,1
2008,10,007,mil,,,,,,,,#,1
2008,10,012,mil,,,,,,,,#,1
2008,10,014,mil,,,6,,1,,,#,1
2008,10,026,mil,,,,,,,,#,1
2008,10,034,mil,,,,,,,,#,1
2008,10,038,mil,3,,,,1,,,#,1
2008,11,017,mil,,,,,,,,#,1
2008,11,031,mil,2,,,1,3,,,3,1
2008,12,007,mil,1,1,5,,10,,,#,2
2008,12,035,mil,,,,,,,,#,1
2008,12,048,mil,,,,,1,,,#,1
2008,12,057,mil,,,,,,,,#,1
2008,12,058,mil,,,,,3,,,#,1
2008,12,068,mil,,,1,,,,,#,1
2008,13,048,mil,,,,1,1,,,1,1
2008,16,038,mil,1,,,1,1,,,1,2
2008,16,052,mil,2,,,,,,,#,1
2008,16,053,mil,,,3,,,,,#,1
2008,16,064,mil,1,1,,,2,,,#,1
2008,16,083,mil,,,1,1,,,,0,1
2008,16,096,mil,,,4,,,,,#,1
2008,16,102,mil,,,,,1,,,#,1
2008,16,107,mil,1,,,,,,,#,1
2008,17,001,mil,,,,,,,,#,1
