anio,ent,total,total_hom,total_muj,armas,armas_hom,armas_muj,pob_total,pob_hom,pob_muj
2015,32,312,289,21,218,202,15,1613116,793085,820031
2015,31,58,49,9,12,11,1,2154214,1063331,1090883
2015,30,982,869,108,559,508,50,8237896,3997519,4240377
2015,29,80,68,12,28,26,2,1305544,634862,670682
2015,28,664,555,82,342,308,23,3500156,1733239,1766917
2015,27,363,330,33,190,181,9,2440488,1201210,1239278
2015,26,584,518,62,367,343,22,2899261,1447137,1452124
2015,25,1082,1027,51,892,860,30,3019576,1500015,1519561
2015,24,261,220,40,126,114,12,2781703,1358777,1422926
2015,23,145,123,22,50,47,3,1555088,785292,769796
2015,22,146,122,22,57,55,1,2106659,1035294,1071365
2015,21,627,538,89,344,311,33,6333894,3047579,3286315
2015,20,792,699,92,561,512,48,4067038,1951856,2115182
2015,19,468,411,55,227,209,17,5266220,2633518,2632702
2015,18,129,117,12,74,71,3,1198804,598468,600336
2015,17,467,418,47,214,196,17,1941580,939745,1001835
2015,16,866,780,84,629,584,44,4683987,2275532,2408455
2015,15,2675,2263,401,1524,1366,156,16594825,8094857,8499968
2015,14,1194,1049,143,693,640,52,8040214,3961178,4079036
2015,13,226,176,50,94,90,4,2931124,1415299,1515825
2015,12,2343,2120,213,1872,1717,155,3620740,1755076,1865664
2015,11,974,866,106,704,638,66,5985087,2911700,3073387
2015,10,204,196,8,140,135,5,1791588,884425,907163
2015,09,1068,932,136,642,587,55,9152227,4377002,4775225
2015,08,1466,1332,129,812,758,51,3621545,1798779,1822766
2015,07,543,474,69,236,219,17,5386294,2641302,2744992
2015,06,230,204,26,170,154,16,724011,359466,364545
2015,05,298,237,61,146,114,32,3017320,1504755,1512565
2015,04,66,57,9,22,18,4,917075,453447,463628
2015,03,180,157,23,120,108,12,730405,372092,358313
2015,02,853,742,110,528,475,53,3406162,1709856,1696306
2015,01,47,40,7,24,23,1,1344649,660444,684205
2016,32,580,499,79,438,377,59,1620606,796339,824267
2016,31,63,54,9,7,6,1,2195871,1083796,1112075
2016,30,1281,1137,142,819,748,71,8234539,3991789,4242750
2016,29,96,85,11,45,45,,1319228,641565,677663
2016,28,799,666,126,491,416,74,3519599,1742355,1777244
2016,27,434,384,50,265,243,22,2445024,1202790,1242234
2016,26,593,538,53,358,338,20,2920813,1459286,1461527
2016,25,1278,1190,85,977,930,46,3032732,1505989,1526743
2016,24,332,299,32,222,207,15,2800720,1368087,1432633
2016,23,196,168,28,66,64,2,1622307,819468,802839
2016,22,134,118,16,56,52,4,2168910,1065724,1103186
2016,21,750,649,101,421,384,37,6407953,3084711,3323242
2016,20,860,740,116,611,549,61,4095378,1965669,2129709
2016,19,617,537,80,347,304,43,5392796,2699055,2693741
2016,18,152,129,23,86,80,6,1209787,603565,606222
2016,17,669,580,89,425,382,43,1955483,946684,1008799
2016,16,1443,1307,131,1097,1020,74,4712935,2291574,2421361
2016,15,2782,2344,426,1603,1428,171,16737401,8164125,8573276
2016,14,1378,1235,139,774,726,48,8134729,4008882,4125847
2016,13,214,171,43,102,86,16,2971554,1434711,1536843
2016,12,2564,2303,248,1960,1789,163,3621045,1753707,1867338
2016,11,1238,1107,129,936,859,75,6042559,2941857,3100702
2016,10,219,206,13,139,134,5,1806708,892691,914017
2016,09,1271,1126,145,752,704,48,9196836,4402058,4794778
2016,08,1789,1612,174,1133,1048,84,3657794,1817307,1840487
2016,07,550,472,78,261,238,23,5453377,2674490,2778887
2016,06,613,548,62,446,401,42,728544,361513,367031
