anio,geo,total,total_hom,total_muj,armas,armas_hom,armas_muj,pob_total,pob_hom,pob_muj
2015,32058,2,2,,2,2,,2835,1403,1432
2015,32057,8,6,1,3,2,1,19211,9543,9668
2015,32056,39,35,4,28,25,3,150381,73304,77077
2015,32055,4,4,,2,2,,31241,15247,15994
2015,32054,2,2,,,,,19547,9719,9828
2015,32050,2,1,1,1,,1,9968,4935,5033
2015,32049,12,12,,8,8,,34261,16857,17404
2015,32048,5,4,1,3,3,,26850,13236,13614
2015,32047,3,3,,2,2,,5586,2732,2854
2015,32042,13,12,1,6,6,,64316,31799,32517
2015,32040,5,5,,2,2,,22581,10996,11585
2015,32039,13,13,,5,5,,65737,31841,33896
2015,32038,3,3,,2,2,,74606,36686,37920
2015,32037,2,2,,,,,17896,8978,8918
2015,32036,6,6,,5,5,,43844,21455,22389
2015,32035,1,1,,1,1,,16742,8263,8479
2015,32034,3,3,,3,3,,28867,13652,15215
2015,32033,2,1,1,,,,4402,2073,2329
2015,32032,2,2,,1,1,,12532,6284,6248
2015,32031,1,1,,,,,9498,4677,4821
2015,32030,1,1,,,,,2595,1251,1344
2015,32029,2,2,,2,2,,24025,11809,12216
2015,32025,5,5,,5,5,,13281,6594,6687
2015,32024,2,2,,1,1,,53192,26438,26754
2015,32023,2,2,,1,1,,13017,6192,6825
2015,32022,1,1,,,,,21979,10700,11279
2015,32021,1,1,,1,1,,4639,2299,2340
2015,32020,13,11,2,9,7,2,60737,29483,31254
2015,32017,31,28,3,27,25,2,182237,89224,93013
2015,32016,1,,1,1,,1,23757,11649,12108
2015,32014,1,1,,,,,22654,10949,11705
2015,32012,2,2,,,,,8370,4095,4275
2015,32011,4,4,,3,3,,3068,1503,1565
2015,32010,107,101,5,89,83,5,231733,114806,116927
2015,32006,1,1,,1,1,,8686,4289,4397
2015,32005,9,9,,4,4,,44794,22471,22323
2015,32001,1,,1,,,,6390,3097,3293
2015,31102,1,1,,,,,80814,40118,40696
2015,31098,2,1,1,2,1,1,15027,7624,7403
2015,31096,1,1,,,,,78785,39198,39587
2015,31091,1,1,,,,,12078,6170,5908
2015,31085,1,,1,,,,15805,8036,7769
2015,31084,2,2,,2,2,,7382,3717,3665
2015,31079,1,1,,,,,43184,21389,21795
2015,31067,2,2,,,,,9989,5134,4855
2015,31062,1,1,,,,,4907,2541,2366
2015,31061,1,1,,,,,3645,1878,1767
2015,31059,5,5,,2,2,,59512,29744,29768
2015,31058,2,2,,1,1,,25614,12742,12872
2015,31056,1,1,,1,1,,31460,15058,16402
2015,31050,27,22,5,2,2,,907630,438932,468698
2015,31048,2,2,,1,1,,23169,11700,11469
2015,31041,3,3,,,,,93997,46711,47286
2015,31040,1,1,,1,1,,27515,13673,13842
2015,31032,1,1,,,,,16395,8324,8071
2015,31029,1,1,,,,,6359,3278,3081
2015,31011,1,,1,,,,7727,3959,3768
2015,30212,7,5,2,5,3,2,14026,6794,7232
2015,30211,3,1,2,1,,1,30951,15192,15759
2015,30210,2,,2,,,,29353,14820,14533
2015,30209,1,1,,1,1,,15527,7593,7934
2015,30208,1,1,,1,1,,25155,12082,13073
2015,30207,8,6,2,8,6,2,47853,23331,24522
2015,30205,2,2,,2,2,,20109,10045,10064
2015,30204,7,3,4,2,1,1,49220,23920,25300
2015,30203,2,1,1,,,,14890,7330,7560
2015,30201,5,4,1,5,4,1,44583,22182,22401
2015,30200,1,1,,,,,13594,6875,6719
2015,30199,1,1,,,,,11454,5603,5851
2015,30198,4,4,,,,,7319,3554,3765
2015,30197,14,14,,9,9,,12345,6068,6277
